Id,SalePrice
1461,180921
1462,180921
1463,180921
1464,180921
1465,180921
1466,180921
1467,180921
1468,180921
1469,180921
1470,180921
1471,180921
1472,180921
1473,180921
1474,180921
1475,180921
1476,180921
1477,180921
1478,180921
1479,180921
1480,180921
1481,180921
1482,180921
1483,180921
1484,180921
1485,180921
1486,180921
1487,180921
1488,180921
1489,180921
1490,180921
1491,180921
1492,180921
1493,180921
1494,180921
1495,180921
1496,180921
1497,180921
1498,180921
1499,180921
1500,180921
1501,180921
1502,180921
1503,180921
1504,180921
1505,180921
1506,180921
1507,180921
1508,180921
1509,180921
1510,180921
1511,180921
1512,180921
1513,180921
1514,180921
1515,180921
1516,180921
1517,180921
1518,180921
1519,180921
1520,180921
1521,180921
1522,180921
1523,180921
1524,180921
1525,180921
1526,180921
1527,180921
1528,180921
1529,180921
1530,180921
1531,180921
1532,180921
1533,180921
1534,180921
1535,180921
1536,180921
1537,180921
1538,180921
1539,180921
1540,180921
1541,180921
1542,180921
1543,180921
1544,180921
1545,180921
1546,180921
1547,180921
1548,180921
1549,180921
1550,180921
1551,180921
1552,180921
1553,180921
1554,180921
1555,180921
1556,180921
1557,180921
1558,180921
1559,180921
1560,180921
1561,180921
1562,180921
1563,180921
1564,180921
1565,180921
1566,180921
1567,180921
1568,180921
1569,180921
1570,180921
1571,180921
1572,180921
1573,180921
1574,180921
1575,180921
1576,180921
1577,180921
1578,180921
1579,180921
1580,180921
1581,180921
1582,180921
1583,180921
1584,180921
1585,180921
1586,180921
1587,180921
1588,180921
1589,180921
1590,180921
1591,180921
1592,180921
1593,180921
1594,180921
1595,180921
1596,180921
1597,180921
1598,180921
1599,180921
1600,180921
1601,180921
1602,180921
1603,180921
1604,180921
1605,180921
1606,180921
1607,180921
1608,180921
1609,180921
1610,180921
1611,180921
1612,180921
1613,180921
1614,180921
1615,180921
1616,180921
1617,180921
1618,180921
1619,180921
1620,180921
1621,180921
1622,180921
1623,180921
1624,180921
1625,180921
1626,180921
1627,180921
1628,180921
1629,180921
1630,180921
1631,180921
1632,180921
1633,180921
1634,180921
1635,180921
1636,180921
1637,180921
1638,180921
1639,180921
1640,180921
1641,180921
1642,180921
1643,180921
1644,180921
1645,180921
1646,180921
1647,180921
1648,180921
1649,180921
1650,180921
1651,180921
1652,180921
1653,180921
1654,180921
1655,180921
1656,180921
1657,180921
1658,180921
1659,180921
1660,180921
1661,180921
1662,180921
1663,180921
1664,180921
1665,180921
1666,180921
1667,180921
1668,180921
1669,180921
1670,180921
1671,180921
1672,180921
1673,180921
1674,180921
1675,180921
1676,180921
1677,180921
1678,180921
1679,180921
1680,180921
1681,180921
1682,180921
1683,180921
1684,180921
1685,180921
1686,180921
1687,180921
1688,180921
1689,180921
1690,180921
1691,180921
1692,180921
1693,180921
1694,180921
1695,180921
1696,180921
1697,180921
1698,180921
1699,180921
1700,180921
1701,180921
1702,180921
1703,180921
1704,180921
1705,180921
1706,180921
1707,180921
1708,180921
1709,180921
1710,180921
1711,180921
1712,180921
1713,180921
1714,180921
1715,180921
1716,180921
1717,180921
1718,180921
1719,180921
1720,180921
1721,180921
1722,180921
1723,180921
1724,180921
1725,180921
1726,180921
1727,180921
1728,180921
1729,180921
1730,180921
1731,180921
1732,180921
1733,180921
1734,180921
1735,180921
1736,180921
1737,180921
1738,180921
1739,180921
1740,180921
1741,180921
1742,180921
1743,180921
1744,180921
1745,180921
1746,180921
1747,180921
1748,180921
1749,180921
1750,180921
1751,180921
1752,180921
1753,180921
1754,180921
1755,180921
1756,180921
1757,180921
1758,180921
1759,180921
1760,180921
1761,180921
1762,180921
1763,180921
1764,180921
1765,180921
1766,180921
1767,180921
1768,180921
1769,180921
1770,180921
1771,180921
1772,180921
1773,180921
1774,180921
1775,180921
1776,180921
1777,180921
1778,180921
1779,180921
1780,180921
1781,180921
1782,180921
1783,180921
1784,180921
1785,180921
1786,180921
1787,180921
1788,180921
1789,180921
1790,180921
1791,180921
1792,180921
1793,180921
1794,180921
1795,180921
1796,180921
1797,180921
1798,180921
1799,180921
1800,180921
1801,180921
1802,180921
1803,180921
1804,180921
1805,180921
1806,180921
1807,180921
1808,180921
1809,180921
1810,180921
1811,180921
1812,180921
1813,180921
1814,180921
1815,180921
1816,180921
1817,180921
1818,180921
1819,180921
1820,180921
1821,180921
1822,180921
1823,180921
1824,180921
1825,180921
1826,180921
1827,180921
1828,180921
1829,180921
1830,180921
1831,180921
1832,180921
1833,180921
1834,180921
1835,180921
1836,180921
1837,180921
1838,180921
1839,180921
1840,180921
1841,180921
1842,180921
1843,180921
1844,180921
1845,180921
1846,180921
1847,180921
1848,180921
1849,180921
1850,180921
1851,180921
1852,180921
1853,180921
1854,180921
1855,180921
1856,180921
1857,180921
1858,180921
1859,180921
1860,180921
1861,180921
1862,180921
1863,180921
1864,180921
1865,180921
1866,180921
1867,180921
1868,180921
1869,180921
1870,180921
1871,180921
1872,180921
1873,180921
1874,180921
1875,180921
1876,180921
1877,180921
1878,180921
1879,180921
1880,180921
1881,180921
1882,180921
1883,180921
1884,180921
1885,180921
1886,180921
1887,180921
1888,180921
1889,180921
1890,180921
1891,180921
1892,180921
1893,180921
1894,180921
1895,180921
1896,180921
1897,180921
1898,180921
1899,180921
1900,180921
1901,180921
1902,180921
1903,180921
1904,180921
1905,180921
1906,180921
1907,180921
1908,180921
1909,180921
1910,180921
1911,180921
1912,180921
1913,180921
1914,180921
1915,180921
1916,180921
1917,180921
1918,180921
1919,180921
1920,180921
1921,180921
1922,180921
1923,180921
1924,180921
1925,180921
1926,180921
1927,180921
1928,180921
1929,180921
1930,180921
1931,180921
1932,180921
1933,180921
1934,180921
1935,180921
1936,180921
1937,180921
1938,180921
1939,180921
1940,180921
1941,180921
1942,180921
1943,180921
1944,180921
1945,180921
1946,180921
1947,180921
1948,180921
